node_ID,2dbd689ba005b92c,9c8e4a33ce44ef7c,15ced0169ec2d4fc,1eda4b436d89607d,84446db871ee7541,f54145d213acd3c,b4596e61f1b0b1ca,ab5f439d83780351,797f7773fa2a2439,f3508e565abd36ea,224aab835ad2f32b,f61ca3cd2ce7086,1e0c3e7ca4eb08a9,1400bceb8190d5fa,24ad368cdc2df60f,e519b7c541401cca,b6bd017d67328e5,6687f4179420e13e,5c96f52dc3484d1a,ef76a31a53452bf7,af278708068fbdec,80fdc303c1856bb1,31fa33593383f8b8,df91b278b307c0a6,d7d18e0ae21b253a,868d2bdeacf83825,25e8ebd42a9dd3de,17d0d3651377dcba,3732fa7d1e6acc0e,ac5d2e6955a5860b,efacf224b901a395,7909c5e9e884e667,a32354896f245e20,8b20493217358aad,eadcecb3d5889a70,880032598f3283b3,a30ea494ab0e6ba7,abf1bd0aa6f8434b,fd57524ca5e50631,52c71e08e1ffe921,1ab27fa9622b9775,55cb4b1943b30ae7,aa1ba684f434139d,a60116832166c5f8,2638df6940da0865,f2fcf16176edf615,7b435c0c78766e60,a7fecafeb1f72abb,7ba8ee842a447ad5,e71584b8ba224d8e,455f60251d09c354,51ee2a2e57e2ca7f,3325aa7efa46fae0,2f84b2e7bc3312bb,bd8ac9b734a0d5d7,1c68988d33e9accb,838765660d67949f,a227100ce36c833e,4c97110d26807acf,50bb644b3fa1ee62
2022-11-27 06:45:26.365456,0,0,0,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,0,0,0,0,0,0,0,0
2022-11-27 06:45:27.584154,0,0,0,3,3,3,3,3,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0
2022-11-27 06:45:28.802852,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-27 06:45:30.021550,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-27 06:45:31.240248,0,0,0,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
2022-11-27 06:45:32.458946,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
2022-11-27 06:45:33.677644,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2022-11-27 06:45:34.896342,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2022-11-27 06:45:36.115040,0,0,0,0,0,0,0,0,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,5,5,5,5,5,0,0,5,0,0,0,0,0,0,0,0
2022-11-27 06:45:37.333738,0,0,0,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
