node_ID,2022-11-27 06:57:24.851912,2022-11-27 06:57:26.109504,2022-11-27 06:57:27.367096,2022-11-27 06:57:28.624688,2022-11-27 06:57:29.882280,2022-11-27 06:57:31.139872,2022-11-27 06:57:32.397464,2022-11-27 06:57:33.655056,2022-11-27 06:57:34.912648,2022-11-27 06:57:36.170240,2022-11-27 06:57:37.427832,2022-11-27 06:57:38.685424,2022-11-27 06:57:39.943016,2022-11-27 06:57:41.200608,2022-11-27 06:57:42.458200,2022-11-27 06:57:43.715792,2022-11-27 06:57:44.973384,2022-11-27 06:57:46.230976,2022-11-27 06:57:47.488568,2022-11-27 06:57:48.746160,2022-11-27 06:57:50.003752,2022-11-27 06:57:51.261344,2022-11-27 06:57:52.518936,2022-11-27 06:57:53.776528,2022-11-27 06:57:55.034120,2022-11-27 06:57:56.291712,2022-11-27 06:57:57.549304,2022-11-27 06:57:58.806896,2022-11-27 06:58:00.064488,2022-11-27 06:58:01.322080,2022-11-27 06:58:02.579672,2022-11-27 06:58:03.837264,2022-11-27 06:58:05.094856,2022-11-27 06:58:06.352448,2022-11-27 06:58:07.610040,2022-11-27 06:58:08.867632,2022-11-27 06:58:10.125224,2022-11-27 06:58:11.382816,2022-11-27 06:58:12.640408,2022-11-27 06:58:13.898000,2022-11-27 06:58:15.155592,2022-11-27 06:58:16.413184,2022-11-27 06:58:17.670776,2022-11-27 06:58:18.928368,2022-11-27 06:58:20.185960,2022-11-27 06:58:21.443552,2022-11-27 06:58:22.701144,2022-11-27 06:58:23.958736,2022-11-27 06:58:25.216328,2022-11-27 06:58:26.473920,2022-11-27 06:58:27.731512,2022-11-27 06:58:28.989104,2022-11-27 06:58:30.246696,2022-11-27 06:58:31.504288,2022-11-27 06:58:32.761880,2022-11-27 06:58:34.019472,2022-11-27 06:58:35.277064,2022-11-27 06:58:36.534656,2022-11-27 06:58:37.792248,2022-11-27 06:58:39.049840,2022-11-27 06:58:40.307432,2022-11-27 06:58:41.565024,2022-11-27 06:58:42.822616,2022-11-27 06:58:44.080208,2022-11-27 06:58:45.337800,2022-11-27 06:58:46.595392,2022-11-27 06:58:47.852984,2022-11-27 06:58:49.110576,2022-11-27 06:58:50.368168,2022-11-27 06:58:51.625760,2022-11-27 06:58:52.883352,2022-11-27 06:58:54.140944,2022-11-27 06:58:55.398536,2022-11-27 06:58:56.656128,2022-11-27 06:58:57.913720,2022-11-27 06:58:59.171312,2022-11-27 06:59:00.428904,2022-11-27 06:59:01.686496,2022-11-27 06:59:02.944088,2022-11-27 06:59:04.201680,2022-11-27 06:59:05.459272,2022-11-27 06:59:06.716864,2022-11-27 06:59:07.974456,2022-11-27 06:59:09.232048,2022-11-27 06:59:10.489640,2022-11-27 06:59:11.747232,2022-11-27 06:59:13.004824,2022-11-27 06:59:14.262416,2022-11-27 06:59:15.520008,2022-11-27 06:59:16.777600,2022-11-27 06:59:18.035192,2022-11-27 06:59:19.292784,2022-11-27 06:59:20.550376,2022-11-27 06:59:21.807968,2022-11-27 06:59:23.065560,2022-11-27 06:59:24.323152,2022-11-27 06:59:25.580744,2022-11-27 06:59:26.838336,2022-11-27 06:59:28.095928,2022-11-27 06:59:29.353520,2022-11-27 06:59:30.611112
391ad6c1e4aad7c1,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,3,1,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
31e76ac24379edd0,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,3,1,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
4da677d5f1e9e7d2,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,3,1,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
666da9bdcd29aa4d,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,3,1,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
abc380f468a54da4,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,3,1,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
3c48184fd4d8b04e,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,3,1,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
bd8d62bd49341bf1,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,3,1,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
ab8a79d1ee75100d,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,3,1,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
262b38bea188138c,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,3,1,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
c9b81cc17963c0fd,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,3,1,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
79cf6f75247a5363,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,3,1,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
7a8e43dec74ba8b,1,4,0,5,1,5,2,3,2,6,2,0,1,5,5,1,1,3,3,2,2,6,1,3,3,2,7,3,1,3,3,1,3,1,3,2,2,1,5,5,4,2,5,5,4,3,1,0,1,1,1,6,4,2,1,3,2,1,2,4,2,2,2,1,5,1,4,3,0,0,4,1,2,2,2,2,4,2,2,1,3,1,3,0,5,5,2,3,2,1,2,1,3,6,1,4,3,2,1,0,1
d602272d480d7760,1,4,0,5,1,5,2,3,2,6,2,0,1,5,5,1,1,3,3,2,2,6,1,3,3,2,7,3,1,3,3,1,3,1,3,2,2,1,5,5,4,2,5,5,4,3,1,0,1,1,1,6,4,2,1,3,2,1,2,4,2,2,2,1,5,1,4,3,0,0,4,1,2,2,2,2,4,2,2,1,3,1,3,0,5,5,2,3,2,1,2,1,3,6,1,4,3,2,1,0,1
f0e26ece1e3030b8,1,4,0,5,1,5,2,3,2,6,2,0,1,5,5,1,1,3,3,2,2,6,1,3,3,2,7,3,1,3,3,1,3,1,3,2,2,1,5,5,4,2,5,5,4,3,1,0,1,1,1,6,4,2,1,3,2,1,2,4,2,2,2,1,5,1,4,3,0,0,4,1,2,2,2,2,4,2,2,1,3,1,3,0,5,5,2,3,2,1,2,1,3,6,1,4,3,2,1,0,1
17505bb58ae3dda4,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,3,1,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
29b9e689ea358177,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,3,1,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
bfdb15b5773cc11d,1,4,0,5,1,5,2,3,2,6,2,0,1,5,5,1,1,3,3,2,2,6,1,3,3,2,7,3,1,3,3,1,3,1,3,2,2,1,5,5,4,2,5,5,4,3,1,0,1,1,1,6,4,2,1,3,2,1,2,4,2,2,2,1,5,1,4,3,0,0,4,1,2,2,2,2,4,2,2,1,3,1,3,0,5,5,2,3,2,1,2,1,3,6,1,4,3,2,1,0,1
b41369f7d2d234fa,1,1,0,2,0,1,0,2,2,5,1,0,1,2,1,0,0,1,0,0,0,2,0,1,0,0,1,1,0,1,3,1,0,1,2,1,0,1,2,2,3,0,1,2,3,2,0,0,1,1,0,2,2,1,1,1,1,0,1,2,1,2,1,0,2,0,0,1,0,0,0,0,1,1,1,0,2,2,2,1,1,1,0,0,2,3,0,1,1,0,1,0,2,1,0,2,1,2,0,0,0
c3e73c669904777a,1,1,0,2,0,1,0,2,2,5,1,0,1,2,1,0,0,1,0,0,0,2,0,1,0,0,1,1,0,1,3,1,0,1,2,1,0,1,2,2,3,0,1,2,3,2,0,0,1,1,0,2,2,1,1,1,1,0,1,2,1,2,1,0,2,0,0,1,0,0,0,0,1,1,1,0,2,2,2,1,1,1,0,0,2,3,0,1,1,0,1,0,2,1,0,2,1,2,0,0,0
fd2f5c28c53999cc,1,4,0,5,1,5,2,3,2,6,2,0,1,5,5,1,1,3,3,2,2,6,1,3,3,2,7,3,1,3,3,1,3,1,3,2,2,1,5,5,4,2,5,5,4,3,1,0,1,1,1,6,4,2,1,3,2,1,2,4,2,2,2,1,5,1,4,3,0,0,4,1,2,2,2,2,4,2,2,1,3,1,3,0,5,5,2,3,2,1,2,1,3,6,1,4,3,2,1,0,1
fe93b6adc0b3a73a,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,3,1,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
fb34f164b82e0f5,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,3,1,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
564c98bd003e8758,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,2,2,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
37782cbce908d3f1,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,2,2,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
f3d22f5b124e6a15,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,2,2,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
59efd2f649579bd8,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,2,2,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
e673be96b4083d25,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,2,2,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
429edb1a24590d53,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,2,2,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
fe6513c33c7ea2b9,3,5,4,7,4,6,5,3,2,3,3,2,1,8,8,2,5,3,6,5,3,9,3,4,7,2,8,5,3,4,6,0,4,4,3,3,5,2,8,8,3,4,10,10,4,2,4,4,1,4,5,9,3,3,2,6,4,2,4,4,2,3,4,3,4,1,8,10,1,3,10,2,3,5,3,4,7,4,4,2,5,3,4,1,4,4,3,4,2,7,2,2,4,9,2,3,5,2,5,4,2
fbd22dd368e1b53a,2,5,2,7,4,5,5,2,1,3,3,0,0,6,7,2,3,3,4,4,3,6,2,3,6,2,7,4,3,3,4,0,4,3,3,3,4,1,6,7,3,3,10,9,1,2,2,1,1,3,4,9,3,2,1,4,2,1,4,4,2,2,4,2,3,1,8,5,0,2,9,1,2,5,3,4,3,3,2,1,4,1,3,1,3,3,2,3,2,2,2,2,2,6,2,3,5,1,4,4,2
5e2cdce9d687fc9b,2,5,2,7,4,5,5,2,1,3,3,0,0,6,7,2,3,3,4,4,3,6,2,3,6,2,7,4,3,3,4,0,4,3,3,3,4,1,6,7,3,3,10,9,1,2,2,1,1,3,4,9,3,2,1,4,2,1,4,4,2,2,4,2,3,1,8,5,0,2,9,1,2,5,3,4,3,3,2,1,4,1,3,1,3,3,2,3,2,2,2,2,2,6,2,3,5,1,4,4,2
2927210804e2efd6,2,2,4,3,3,2,3,1,2,2,2,2,1,4,4,1,4,1,3,3,1,5,2,2,4,0,2,3,2,1,4,0,1,4,2,2,3,2,5,4,1,2,5,6,3,1,3,4,1,4,4,5,1,2,2,4,3,1,3,2,1,3,3,2,1,0,4,8,1,3,6,1,2,4,2,2,4,3,4,1,3,2,1,1,1,2,1,2,1,6,0,1,2,4,1,0,2,2,4,4,1
313bd63451ae37b5,2,2,4,3,3,2,3,1,2,2,2,2,1,4,4,1,4,1,3,3,1,5,2,2,4,0,2,3,2,1,4,0,1,4,2,2,3,2,5,4,1,2,5,6,3,1,3,4,1,4,4,5,1,2,2,4,3,1,3,2,1,3,3,2,1,0,4,8,1,3,6,1,2,4,2,2,4,3,4,1,3,2,1,1,1,2,1,2,1,6,0,1,2,4,1,0,2,2,4,4,1
bdc548a0f930a764,2,2,4,3,3,2,3,1,2,2,2,2,1,4,4,1,4,1,3,3,1,5,2,2,4,0,2,3,2,1,4,0,1,4,2,2,3,2,5,4,1,2,5,6,3,1,3,4,1,4,4,5,1,2,2,4,3,1,3,2,1,3,3,2,1,0,4,8,1,3,6,1,2,4,2,2,4,3,4,1,3,2,1,1,1,2,1,2,1,6,0,1,2,4,1,0,2,2,4,4,1
8b972d7647106af,2,2,4,3,3,2,3,1,2,2,2,2,1,4,4,1,4,1,3,3,1,5,2,2,4,0,2,3,2,1,4,0,1,4,2,2,3,2,5,4,1,2,5,6,3,1,3,4,1,4,4,5,1,2,2,4,3,1,3,2,1,3,3,2,1,0,4,8,1,3,6,1,2,4,2,2,4,3,4,1,3,2,1,1,1,2,1,2,1,6,0,1,2,4,1,0,2,2,4,4,1
2922dabe0b4eee36,2,2,4,3,3,2,3,1,2,2,2,2,1,4,4,1,4,1,3,3,1,5,2,2,4,0,2,3,2,1,4,0,1,4,2,2,3,2,5,4,1,2,5,6,3,1,3,4,1,4,4,5,1,2,2,4,3,1,3,2,1,3,3,2,1,0,4,8,1,3,6,1,2,4,2,2,4,3,4,1,3,2,1,1,1,2,1,2,1,6,0,1,2,4,1,0,2,2,4,4,1
23d7860f59c5e090,3,2,1,3,1,0,5,0,3,4,2,2,4,4,4,3,4,2,1,2,4,2,2,2,6,2,2,4,1,1,4,4,1,4,4,3,2,0,5,3,2,4,6,6,2,2,3,0,2,2,2,2,1,3,4,1,1,4,0,3,4,1,1,2,2,3,1,2,0,0,7,2,0,3,3,2,4,3,4,2,3,3,1,1,4,4,2,3,3,1,2,1,2,7,2,1,3,1,2,1,1
8294bd7d038b7c0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44313a36f7b9007a,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
c712986d441d8aa2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
